review_id,product_name,username,rating,date_variant,comment
38659060582,Kopi Toraja Arabika Perindingan 250 gram Bubuk atau Biji Specialty Coffee,theorafael,5,2025-04-23 18:34 | Variasi: Sedang,
38630259331,Kopi Toraja Robusta biji sangrai atau kopi bubuk,y*****9,5,"2025-04-22 09:06 | Variasi: 150 GRAM,Giling Super Halus",
38572721996,Kopi Toraja Espresso Based kemasan 500 gram,pakdekuntet1,5,2025-04-22 04:52 | Variasi: Halus,
38507435624,Kopi Arabika Toraja Benteng Kado Phiter Tulak 250 gram Kopi Terbaik Indonesia 2016 versi AEKI,b*****a,5,2025-04-21 22:01 | Variasi: Halus,alhamdulillah suami suka
38506363895,Kopi Toraja Robusta biji sangrai atau kopi bubuk,tutyasis,5,"2025-04-21 20:25 | Variasi: 200 GRAM,Giling Super Halus",
38506363894,Kopi Toraja Blend Arabika Robusta Taracasta kemasan 200gram,tutyasis,5,"2025-04-21 20:25 | Variasi: 150 gram,Giling Super Halus",
38506201471,Plastik zipper untuk kemasan oleh oleh tulisan Gandangbatu Coffee,srilesstari,5,2025-04-21 20:11,
38506201470,Kopi Toraja Robusta biji sangrai atau kopi bubuk,srilesstari,5,"2025-04-21 20:11 | Variasi: 200 GRAM,Giling Super Halus",
38506201469,Kopi Arabika Toraja Gandang batu Espresso Based kemasan 200 gram,srilesstari,5,"2025-04-21 20:11 | Variasi: 200 gram,Giling Super Halus",
38233874048,Vanilla beans planifolia super gourmet A 10 gram (2-4 batang),d*****a,5,2025-04-19 12:56 | Variasi: Super B (18-22 cm),
38232511295,Kopi Toraja Robusta biji sangrai atau kopi bubuk,n*****i,4,"2025-04-19 10:41 | Variasi: 200 GRAM,Biji Sangrai",
38077018782,Kopi Arabika Toraja Gandang batu Espresso Based kemasan 200 gram,rfikaa,5,"2025-04-18 21:17 | Variasi: 200 gram,Giling Halus",
38074848861,Kopi Toraja Blend Arabika Robusta Gandangbatu Taracasta kemasan 500 gram,utariputrirum,5,2025-04-18 18:17 | Variasi: Giling Sedang,
37872902704,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,dian06,5,2025-04-17 20:18 | Variasi: GILING SUPER HALUS,
37267737266,Kopi Toraja Robusta biji sangrai atau kopi bubuk,fajriansyah47,5,"2025-04-15 18:47 | Variasi: 200 GRAM,Biji Sangrai",
37146559792,Kopi Arabika Toraja Gandang batu Espresso Based kemasan 200 gram,kkyazid,4,"2025-04-14 12:15 | Variasi: 200 gram,Biji Sangrai",
37033203948,Kopi Toraja Robusta biji sangrai atau kopi bubuk,hengkihengki539,5,"2025-04-13 11:59 | Variasi: 200 GRAM,Giling Super Halus",
37033203945,Kopi Toraja Blend Arabika Robusta Taracasta kemasan 200gram,hengkihengki539,5,"2025-04-13 11:59 | Variasi: 200 gram,Giling Super Halus",
37028661886,Kopi Arabika Toraja Benteng Kado Phiter Tulak 250 gram Kopi Terbaik Indonesia 2016 versi AEKI,ocha_kodukawa,5,2025-04-13 08:33 | Variasi: Biji Sangrai,
36884133713,Kopi Toraja Arabika Perindingan 250 gram Bubuk atau Biji Specialty Coffee,wandamaleali,5,2025-04-12 07:37 | Variasi: Biji Sangrai,
36882470740,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,acho08,3,2025-04-12 07:29 | Variasi: GILING SUPER HALUS,
36882470735,Kopi Toraja Robusta kemasan 500 gram Murah,acho08,3,2025-04-12 07:29 | Variasi: Biji Sangrai,
36882470730,Kopi Toraja Blend Arabika Robusta Gandangbatu Taracasta kemasan 500 gram,acho08,3,2025-04-12 07:29 | Variasi: Biji Sangrai,
36882470727,Kopi Toraja Robusta biji sangrai atau kopi bubuk,acho08,3,"2025-04-12 07:29 | Variasi: 200 GRAM,Giling Super Halus",
36609355219,Kopi Toraja Robusta biji sangrai atau kopi bubuk,haijuly07,3,"2025-04-11 10:40 | Variasi: 200 GRAM,Biji Sangrai, 200 GRAM,Giling Halus",
36609355218,Kopi Toraja Arabika Natural Benteng Ambeso 250 gram Bubuk atau Biji Specialty Coffee,haijuly07,5,2025-04-11 10:40 | Variasi: Biji Sangrai,
36484270981,Kopi Toraja Robusta biji sangrai atau kopi bubuk,rardyans,5,"2025-04-11 02:08 | Variasi: 150 GRAM,Giling Kasar, 150 GRAM,Giling Halus",
36224489018,Kopi Arabika Toraja Gandang batu Espresso Based kemasan 200 gram,percobaantwitter,5,"2025-04-09 17:40 | Variasi: 200 gram,Giling Kasar",Bagus
36183596970,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,rayab3sudirman..,5,2025-04-09 13:41 | Variasi: GILING SUPER HALUS,
36183596955,Kopi Toraja Robusta biji sangrai atau kopi bubuk,rayab3sudirman..,5,"2025-04-09 13:41 | Variasi: 200 GRAM,Giling Super Halus",
36183596942,Kopi Arabika Toraja Gandang batu Espresso Based kemasan 200 gram,rayab3sudirman..,5,"2025-04-09 13:41 | Variasi: 200 gram,Giling Super Halus",
36178950606,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,muhammadadityaseptiawan784,5,2025-04-09 13:12 | Variasi: GILING SUPER HALUS,
36170062273,Vanilla beans planifolia super gourmet A 10 gram (2-4 batang),fidywansaga,5,2025-04-09 09:16 | Variasi: Super B (18-22 cm),
36170062272,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,fidywansaga,5,2025-04-09 09:16 | Variasi: BIJI SANGRAI,thankyou bonusnya.. harum skali vanilinya..
36128048993,Kopi Toraja Blend Arabika Robusta Taracasta kemasan 200gram,prabudisudjati,5,"2025-04-08 07:49 | Variasi: 150 gram,Giling Sedang",
35899405290,Kopi Toraja Robusta biji sangrai atau kopi bubuk,e*****d,5,"2025-04-07 02:40 | Variasi: 200 GRAM,Giling Halus",
35899405274,Kopi Arabika Toraja Gandang batu Espresso Based kemasan 200 gram,e*****d,5,"2025-04-07 02:40 | Variasi: 200 gram,Giling Halus",
35899405261,Kopi Toraja Arabika Phiter Tulak Benteng Kado 150 gram Kopi terbaik 2016 versi Asosiasi Eksportir Kopi Indonesia,e*****d,5,2025-04-07 02:40 | Variasi: HALUS,
35899252134,Plastik zipper untuk kemasan oleh oleh tulisan Gandangbatu Coffee,e*****d,5,2025-04-07 02:40,
35856175052,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,mashlahatul_ummah,4,"2025-04-05 23:41 | Variasi: GILING HALUS, GILING KASAR",
35848503651,Kopi Toraja Robusta kemasan 500 gram Murah,elstore567,5,2025-04-05 10:44 | Variasi: Giling Super Halus,
35848503649,Kopi Toraja Blend Arabika Robusta Gandangbatu Taracasta kemasan 500 gram,elstore567,5,2025-04-05 10:44 | Variasi: Giling Super Halus,
35696661564,Kopi Toraja Blend Arabika Robusta Gandangbatu Taracasta kemasan 500 gram,golipopo,5,2025-04-04 22:02 | Variasi: Biji Sangrai,
35696661563,Kopi Toraja Espresso Based kemasan 500 gram,golipopo,5,2025-04-04 22:02 | Variasi: Biji Sangrai,
35694004957,KOPI TORAJA BLEND ARABIKA ROBUSTA 50 50 BIJI SANGRAI ATAU BUBUK HARUM,rhmt_fdnt,5,2025-04-04 17:28 | Variasi: GILING SEDANG,
35546877099,Kopi Toraja Robusta 1kg Biji Sangrai atau Kopi Bubuk Murah,primaeras,5,2025-04-03 20:41 | Variasi: Biji Sangrai,
35544920792,Kopi Toraja Robusta biji sangrai atau kopi bubuk,a*****r,5,"2025-04-03 16:57 | Variasi: 200 GRAM,Biji Sangrai","Pesanan sesuai, respon penjual cepat, pengiriman juga cepat, packing ok."
35544920791,Kopi Arabika Toraja Gandang batu Espresso Based kemasan 200 gram,a*****r,5,"2025-04-03 16:57 | Variasi: 200 gram,Giling Halus","Pesanan sesuai, respon penjual cepat, pengiriman juga cepat, packing ok.q"
35544920790,Kopi Toraja Arabika Perindingan 250 gram Bubuk atau Biji Specialty Coffee,a*****r,5,2025-04-03 16:57 | Variasi: Biji Sangrai,"Pesanan sesuai, respon penjual cepat, pengiriman juga cepat, packing ok."
35544214017,Kopi Toraja Blend Arabika Robusta Gandangbatu Taracasta kemasan 500 gram,hengkihengki539,5,2025-04-03 15:33 | Variasi: Biji Sangrai,
